P10790390X0000|67 75|mod ( mdg4 )
P09383156A0691|91 96|PNPase
P08533472A0777|41 45|N2403
P10229084A0000|253 256|pp85
P09705324A1602|106 115|rat Std gene
P06784123A0286|12 18|C mu RNAs
P11075929A1657|32 35|ThlA
P03243027T0000|32 51|ribosomal protein gene
P09455695A0762|0 2|ALT
P11014215A1092|208 225|human GnRHR promoter
P08896804A0000|162 172|BDZ receptor
P09988682T0033|18 26|human cDNA
P08270257A0551|70 78|NDP-K beta
P11222720A1699|44 48|EBNA2
P08522530A1342|4 11|nifA mRNA
P10564495A0444|176 179|CGM1
P09511760A0221|160 168|cHO-1 gene
P11572467T0000|83 86|t-PA
P08072547A1009|75 79|c-Fos
P09117345A0945|12 22|alpha 4 beta 1
P11114924A0808|7 10|ccdA
P11278310A1516|63 71|caspase-3
P07910946A0323|97 106|luciferase
P00377466A0188|19 36|luteinizing hormone
P09407031A0974|62 65|cut5
P02307850A0000|86 91|RNKP-1
P08514766A0732|105 111|p21 rac1
P08820648A0123|33 55|ribonucleotide reductase
P07601827A0778|7 17|lacZ fusions
P02538656A0172|27 35|E1 mutants
P10209021A0212|28 31|Gle2
P01452037A0000|124 147|triosephosphate isomerase
P08421910A0599|49 51|p30
P01398140A0488|16 28|Xenopus U7 gene
P11069756A2618|120 122|FAK
P09420239A1937|204 205|SU
P11376165T0000|6 19|Cre recombinase
P09858745A1350|28 45|catB structural gene
P07891708A1192|52 58|Epo gene
P08660892A1044|55 66|wild-type SRF
P07623825T0000|43 58|heat shock factor 1
P02223773A0000|36 38|ADF
P10594239T0000|61 66|TDAG51
P08808939A0000|106 108|HPr
P08106313A1492|75 78|HrpS
P10764760T0000|64 66|JNK
P10318806A0918|149 172|GTPase-activating protein
P07891685A1051|128 139|CAT8 promoter
P07688112A0274|0 22|Prostate specific antigen
P08530503A1004|13 15|ARP
P09121432A0000|89 111|protein-tyrosine kinases
P08628284A0181|113 117|TRE-1
P10666238A1322|34 46|E2F -1 promoter
P09362480A0452|49 57|TB domains
P07696183A0567|55 69|Src-like kinases
P11156789A1669|227 236|CSF protein
P11425877A1026|12 15|p116
P07628451A0114|76 79|p300
P01860846A0663|82 91|MARCKS gene
P07636962A1883b|82 93|BHV-alpha TIF
P09148903A1715|107 134|NF-kappaB transcription factor
P08599946A0999|39 48|p40 complex
P11108720A1130|93 95|MEK
P10228155A1293|0 6|SCFFWD1
P07651131A1407|19 24|DNase I
P08348919T0000|0 13|Botulinum toxin
P09361007A0922|1 25|DNase I-hypersensitive site
P11179687A0280|50 77|protein-tyrosine phosphatases
P09892642A0172|35 46|HPV E2 protein
P07867622X0000|106 108|p21
P09858531A1017|12 16|RING1
P10403839A1459|77 82|mBMAL1
P10375718A0000|28 31|bFGF
P11207308A0999|200 205|ERK1/2
P11241672T0000|83 112|interleukin-4 responsive element
P11255252A0961|59 64|FXR HRE
P08397123T0000|53 91|human corticotropin-releasing hormone gene
P09649537A0000|61 65|yGCN2
P08387155A1248|81 85|c-Fos
P08808927A0417|40 47|vspA gene
P11560992A1184|5 8|MKK7
P09694869A0932|94 98|Stat3
P08756636T0000|26 42|yeast Rad51 protein
P08720407A1386|95 112|interleukin-1 alpha
P01560774A0885|60 67|fliA gene
P07835273A0000|61 75|insulin receptor
P10919971A0606|117 130|creatine kinase
P07963540A0795|33 43|kappa B motif
P10517666A1069|32 33|GR
P08361761A0174|88 102|Sp1 binding sites
P10548434A1549|133 135|p38
P07567300T0000|0 25|Staphylococcal enterotoxin A
P08990397A1437|45 74|tscA-lacking photosystem I mutant
P02142921T0000|0 34|Luteinizing hormone-releasing hormone
P01826003A0694|57 65|SIG family
P08139543A1520|74 77|SLT2
P10593950A1113|10 12|WT1
P08289834A0341|58 64|activin
P09427627T0000|33 44|PDGF receptor
P08062824A0626|134 140|FKBP-12
P01572549A0000|0 21|Protein tyrosine kinases
P07537851A0000|18 46|vascular cell adhesion molecule 1
P09556861A1018|176 190|tRNA-synthetase
P11046146A1202|173 179|NFI-DNA
P08393143A1281|61 74|viral tat factor
P07487908A0230|61 91|chloramphenicol acetyltranferase
P03037334A0932|53 66|yeast RP39A gene
P10497874A0925|117 133|PLC-gamma1 isozyme
P00139624A0318|48 65|serum ceruloplasmin
P09724654A0761|81 90|Mcm protein
P09774450A0000|42 68|gamma-glutamyl leukotrienase
P07509449A0000|95 111|viral Gag sequences
P09705352A0879|29 33|Cdc19
P11333268A1521|50 52|Sos
P07509449A0000|187 198|SH3 sequences
P08973527A0000|32 42|coat protein
P09029159A0000|82 84|PKR
P06394347A1024|39 49|plasma renin
P07916689A0312|11 14|POT1
P01878489A0959|80 91|NADPH oxidase
P11602353A0770|29 33|HFH-2
P04004168A0000|38 61|triosephosphate isomerase
P09524276A0939|0 11|LysR proteins
P01400401A0065|59 60|E1
P11012680A1020|93 97|FGFR1
P09168623A0614|39 50|mxbD promoter
P02686985A0811|54 65|PCF1 mutation
P08144631A0000|11 25|tyrosine kinases
P09254678A0106|109 126|proteolipid protein
P08625806A0263|69 70|r5
P09774641A0824|62 68|cyclin D
P01469042A0355|47 57|CENP-B boxes
P01716292A0000|195 203|H-2E alpha
P09770415A0139|21 26|THOV NP
P10533066A1197|88 91|TSC2
P08891345A0684|151 165|beta-globin mRNA
P09111340A0240|157 168|myc sequences
P01372802A1481|107 119|C3 ( D ) epitopes
P11281268A0000|33 35|AKs
P08837503A0392|171 184|dicot extensins
P09843944A0976|129 137|UP element
P09003311A0478|66 70|porCa
P11872359A0000|21 27|insulin
P08395681A0388|204 224|retinoblastoma protein
P07754713A0227|66 84|ribosomal protein S24
P07951410A0647|45 49|E2F -1
P09348226A0852|14 16|EGF
P09840928A0884|65 66|H4
P08065901A0997|156 167|KRAB-A domain
P09328824A0000|204 224|retinoic acid receptors
P10857262A0186|58 83|D. melanogaster type A protein
P02115572A1323|69 82|U266 lambda gene
P08148756A0358|82 91|hemoglobin
P08615025A1214|187 191|gp160
P07999982A0086|32 35|FRDA
P08255758A0000|46 75|Drosophila copia retrotransposon
P10369926A0251|67 74|human IL8
P09467955A0468|45 60|PEA3 binding sites
P10827952A0158|18 25|TAFII250
P10406466A0000|91 112|orphan nuclear receptors
P03280807A1447|13 17|suf12
P08816452A0936|51 53|p54
P01694014A0716|135 142|LD78 cDNA
P10366503A1506|11 19|terminase
P05792911T0000|9 31|beta-adrenergic receptor
P08458849A0364|58 72|sigma 54 promoter
P09049198A0289|93 99|p21 gene
P10972990A0196|3 28|tumor-suppressor protein p53
P07739542A1419|98 118|retinoblastoma protein
P08111974A1034|62 72|tubulin mRNA
P08428952A0399|8 16|L-plastin
P02577458A0412|48 74|angiotensin converting enzyme
P10717612A0000|92 137|granulocyte-macrophage-colony stimulating factor
P09121424A0296|44 47|Swh3
P09423310A0251|127 150|Factor VIII related antigen
P11113179A0541|50 65|estrogen receptor
P07983715A0996|217 238|luciferase reporter gene
P07949164A0799|29 39|kappa B motif
P08132574A0831|9 11|SVA
P09321930A0567|53 55|APC
P08794339A1162|136 138|CBP
P10091594A0284|195 203|anti-K159
P07795576A0126|91 101|plasma renin
P09822690A0000|45 65|cAMP-dependent protein
P11094066A1194|96 102|FKHR-L1
P09769209A0100|72 81|nasF operon
P09861365A0000|65 90|Wuchereria bancrofti antigen
P09658104T0000|68 109|Rous sarcoma virus long terminal repeat promoter
P10866323A0666|69 72|STAT
P10611353A0458|80 82|RNR
P02406570A0898|80 83|ABFI
P06718064T0001|0 16|Plasma lactoferrin
P11685047A0301|41 48|thrombin
P08816472T0000|43 46|Byr2
P08149484A0151|65 72|PKC delta
P09636708A0460|3 13|YccA protein
P08007975A0000|3 10|IPL1 gene
P08722011A0103|25 36|GTPase domain
P10815807A1271|54 66|c-Myb promoter
P07540607A0709|63 81|human immunoglobulin
P11102458A0000|55 66|neurobeachin
P10454561A0594|47 61|TD-IkappaBalpha
P10951579A1238|71 76|wt-p53
P07759525A0417|102 122|casein kinase I isoforms
P08485317A0000|3 23|fission yeast dsk1+ gene
P07945937A0358|21 45|zebrafish egr1 coding region
P10769144A0000|88 105|cAMP-regulated gene
P10094701A0000|54 66|acetate kinase
P06090458A0407|3 23|PEPCK promoter fragment
P10727515A1202|111 117|PLCbeta
P10350454A0000|8 29|adenine-DNA glycosylase
P08151787T0000|91 95|IE110
P03934667A0124|45 50|crsA47
P09447962A1027|145 153|rhis4 mRNA
P07704273A0000|25 28|ampD
P08622675A0587|97 115|lymphoid factor Lef-1
P08608447A0806|50 63|TPI transcripts
P09436989A1011|65 68|MOB1
P10805286A0233|143 149|PCI mRNA
P09047344A0000|26 28|CBP
P01480183A0000|25 44|human lactoferrin gene
P11198289T0000|9 26|serum ceruloplasmin
P11027280A0536|0 10|Cam kinase II
P08654390A0000|0 13|Heme oxygenase 1
P10567581A0119|58 64|HFH-11B
P11368363A0129|169 193|HMG-Box containing protein 1
P09863624A0629|46 49|CRF1
P07789275A0325|24 26|E74
P07542616A0486|123 127|eIF-3
P10669633A0391|85 93|flt-1 gene
P09971776A0838|22 24|CD4
P01328854T0000|7 15|MEF-2 site
P11554469A1386|44 52|CesA genes
P02648646A0216|0 23|Platelet activating factor
P01842498A0000|76 93|phytohemagglutinin
P09418057A0684|14 29|Pto-like sequence
P11127200A1024|230 247|parathyroid hormone
P10601280A0674|59 69|ST3 promoter
P11255423A0211|91 93|CD4
P10987301A0332|85 88|GPCR
P10733569A0364|119 122|HSF2
P08798443A1218|43 47|c-Myb
P01380454A0451|210 212|Myb
P09315631A1064|91 99|POR2 genes
P11429702A0917|196 205|aFGF ligand
P02437792T0000|12 21|elastase-1
P00232354A0286|5 8|ACTH
P08283292A0779|147 152|pectin
P09524222A0769|106 146|human red cell alpha- and beta-adducin subunits
P03024703A1036|114 126|hsp108 protein
P01378052A0594|7 10|acoR
P01649318A1222|33 38|EBNA-2
P10521509A0000|68 73|EGL-10
P11550795A2583|132 143|interleukin 2
P07945330A0103|58 66|Rex-1 gene
P09858577A1186|31 34|ENA1
P08952965A1182|214 217|CDR1
P08182056A0695|34 37|NQO2
P09435056A0128|163 200|secretory protein maltose-binding protein
P10397257A1142|34 41|Sp1 sites
P01779433A0694|28 42|Alu family repeat
P06869986A0000|57 64|collagen
P11012680A0676|22 25|FGF1
P09649438A0182|63 72|CDK9 kinase
P09341158A0167|32 34|mu1
P08780339A0142|233 235|RS3
P01845899A0000|77 81|Rep40
P03033283A1415|304 311|HCMV IE68
P08043523A0000|44 73|nicotinic acetylcholine receptor
P09151837A0723|131 135|Rep78
P06795832A0148|53 55|IgM
P08954725A1175|19 22|Tbx6
P10671224A0254|60 64|CD95L
P02928112T0000|31 60|human U2 snRNA-specific A' protein
P09199327A1250|29 35|EM motif
P09537375A0198|105 108|GntR
P10080875A0772|175 191|NF-kappaB proteins
P10972990A0526|99 113|thymidine kinase
P07916729T0000|25 53|suppressor of Hairy-wing protein
P01900194T0000|60 91|bacterial NAD-reducing hydrogenase
P10890911A0470|48 59|HMG box domain
P01735721A0185|57 87|Bacillus stearothermophilus TyrTS
P01845885A1003|292 314|UL26 transcriptional unit
P10637337A0545|36 39|TFA1
P11145955A0189|30 50|estrogen receptor alpha
P11560509T0000|16 22|F factor
P11221845A1370|32 35|mlt 1
P11390395A1018|53 57|PIAS3
P03004982A0199|109 112|fbcC
P01682509A0539|53 56|IE55
P08668158A0765|218 221|RPM1
P02061333A0784|42 49|acvA gene
P09343210A1112|71 112|chloramphenicol acetyltransferase constructs
P10103057A0251|96 99|AML1
P09417082A0127|40 56|urokinase receptor
P08608222T0000|98 102|STAT3
P10815410A0000|113 116|IL-6
P08794326A0405|55 57|TRE
P09469820A0151|59 67|YAP2 uORF1
P02123029A0478|173 186|mu-like isotype
P10200473A0171|49 55|Usurpin
P08144615A0533|67 69|TCD
P10505694A0739|0 4|IL-12
P10628971A1165|159 162|LUV1
P10660069A0819|99 106|RRD genes
P11470914A0305|24 28|STAT3
P09278441A1160|142 147|tinman
P07672821A0763|116 138|factor H-related proteins
P07782302A0479|122 139|Ran-binding protein
P08396261A0388|323 331|RI protein
P11062067A0000|48 68|c-Jun N-terminal kinase
P11535532A0189|25 29|DUB-2
P01504853A0299|9 12|LHRH
P10721704X0000|185 203|RNA-binding proteins
P10228009A0600|79 83|TRAF6
P02559630A0270|70 80|prothrombin
P10918572A0794|51 55|ErbB1
P08770981A0328|22 40|von Willebrand factor
P06434587A0551|29 31|FSH
P08617238A0334|192 209|heat shock protein 27
P09832436A0738|24 28|PLP-H
P09584165T0000|63 71|G proteins
P09346935A0927|162 174|RNA polymerase
P09111340A0240|38 46|c-myc mRNA
P10764150A0000|67 76|Raf kinases
P09837714A1068|75 79|DdRPA
P09515921A1662|30 36|pca gene
P10650938T0000|83 93|trout ER gene
P11263664A1085|19 22|SIP1
P03171221A0531|75 92|elastin transcripts
P11034547A1355|27 30|Arix
P09182990A0245|128 136|SUP45 gene
P10224293A2021|69 78|RPTP-kappa
P09560221A0282|6 10|cak1A
P11500571A0976|60 75|gPAL1 transcripts
P10084294A0219|92 99|ferritin
P03275873A0379|104 117|alpha-amanitin
P07522163T0000|89 91|MHC
P01378052A0594|153 156|NtrC
P09010223A1850|83 86|FLI1
P01970560A1024|48 51|lacZ
P10498706A1219|46 49|pelD
P01326329A0703|224 227|GREs
P10233147A0218|88 91|MAPK
P11319098A0164|72 96|antiterminator protein NusG
P11500512A0000|36 54|ATP-binding cassette
P02167467T0000|45 63|bacterial protein L11
P08820648A0123|124 145|nrdAB-defective mutants
P09917389A1239|51 54|FinP
P09754571A0169|91 98|RAG1 mRNA
P08627667A0132|41 45|c-Fos
P10364523T0000|72 75|SOX9
P08395004A0558|98 129|nonhistone chromosomal protein HMG1
P09858531A1017|78 82|c-jun
P07493327A0507|62 69|U6 snRNAs
P09372924A0758|16 29|rhHR23 proteins
P09524229A0000|7 11|lac-1
P07836471A0375|49 53|hNUC I
P10556033A0000|3 18|RFX protein family
P03441587A0000|26 42|rheumatoid factors
P01840513A1019|116 147|chloramphenicol acetyltransferase
P11208814A0673|121 122|m5
P08552670A0665|0 3|Abp1
P09837913A0000|16 17|D2
P02473907A1338|28 30|IgE
P11000521A0588|191 195|IRS-2
P09362499A0000|3 12|Fis protein
P09553040A0651|78 87|PI-3 kinase
P09844106A0835|57 67|fibronectin
P01324404A1208|0 31|HNF-3 beta amino-terminal sequences
P10555285A1065|205 217|globin cluster
P09630245A0102|0 11|Yeast U1 snRNP
P08508778A0112|30 37|NOP1 gene
P09421508A0696|82 85|MafG
P07784078A1064|72 79|RAR alpha
P08647091A0592|135 151|mammalian ADH genes
P11305129T0000|100 113|immune globulin
P11043469A0440|122 123|TR
P02832149A1009|226 241|mouse myb oncogene
P02157882T0000|52 70|murine v-abl proteins
P08388510A0891|52 59|UL28 gene
P07516866A0000|1 22|full-length PRL receptor
P02523800A1178|36 43|CHS1 gene
P09287352A0930|45 49|SHP-1
P07642538A0138|57 60|RSK3
P01765095A0680|127 134|myogenin
P09343210A1112|125 127|Tax
P07852400A0519|28 33|Rho GDI
P10915780A1063|140 142|ILK
P08106325A0000|140 158|diphtheria toxin gene
P02196565T0000|92 95|Gal4
P10825200T0000|76 78|syk
P10200473A0171|104 109|Casper
P09727046A0784|75 79|NF-E2
P09538258A0200|48 50|Ras
P09792627A0441|48 49|GR
P09545638A0330a|30 56|yeast hnRNP methyltransferase
P11533238A1137|97 111|HLA-DRA promoter
P11000521A0588|164 189|insulin receptor substrate-2
P02445751A0925|106 113|F1 ATPase
P10807903A0362|123 133|D1 receptors
P09716179A0974|57 74|RA-responsive genes
P08464924A0243|19 23|eIF-5
P10464310A0218|39 62|fibroblast growth factor-2
P07601445A0207|16 37|BAT1 translation product
P08463320A1219|126 137|SSB tetramers
P07706396T0000|14 22|VPS45 gene
P01438287T0000|48 63|recombinant genes
P07983744A0920|27 31|IE110
P07969132A0268|134 137|gcn2
P07559650A0558|56 58|E2F
P09770378A0641|0 3|EGFR
P07948129A0297|74 105|chloramphenicol acetyl transferase
P09506990T0000|5 15|ZFM1 protein
P01721884A0962|180 191|E. coli RNase H
P11207308A0999|195 198|JAK3
P08001966A0563|72 77|skin-1
P02110148A0423|89 108|B. subtilis IF2 protein
P11059786T0000|58 88|vascular endothelial growth factor
P09006051A1162|200 203|PrpD
P07547500A0066|37 40|GAL4
P03133250A0000|139 142|hFSH
P09202859A0091|55 82|placental alkaline phosphatase
P08917449A0000|33 44|neuropoietin
P10704410T0000|69 72|Mcm2
P10207049A1001|28 42|Glc7 phosphatase
P08542027A1471|3 9|XS2 gene
P10603349A1667|70 73|Myf5
P01392012A0228|19 29|vasopressin
P01557411A1282|8 19|human D1A gene
P09813110A0982|29 33|CBP90
P09761723A0226|0 5|GETS-1
P10201468A0297|63 67|GLP-1
P08768374A0765|3 6|P-wr
P11283014A0921|21 24|WASP
P02843495A0544|24 28|CSF-1
P08808120A0774|178 185|ferritin
P00224013A0661|335 359|beta-Vasodilator receptors
P10066815T0000|137 149|B cell receptor
P09315631A1064|84 87|POR1
P09418905A1396|36 39|Grb2
P10778757A0000|126 155|seed-specific cell wall invertase
P10446912A0883|110 112|Sp1
P02714852T0000|26 39|HLA-C sequences
P09765388T0000|23 25|p73
P11095248A0423|77 80|gp31
P08228805A0540|26 28|TCR
P04189158T0000|36 56|anti-Rh immune globulin
P11238447A0524|36 41|eIF-5A
P09328343A0181|99 117|HEB-encoded proteins
P10597317A1156|58 60|JBD
P02811378A0379|53 63|S100 protein
P11410664A0963|220 223|MGMT
P09927449A0421|89 92|CLN1
P01317376A0981|119 125|frk mRNA
P11390650A0562|98 103|SLP-76
P07790377A0561|15 24|human PTS1R
P08058326A0463|57 61|tal-1
P02004705A0686|3 14|cdr1 sequence
P07791760A0424|69 72|MAPK
P09111367A1098|79 83|tal-1
P09990315A0205|30 33|ERK2
P11532856A1175|211 217|p38 MAPK
P10831972A1091|62 65|CD23
P08441423A0145|40 48|GCD7 genes
P01285009A0000|142 159|rat cholecystokinin
P07592946A0997|261 264|MyoD
P10454568A0815|125 145|epidermal growth factor
P08421910A0599|68 70|p56
P09837907A0857|128 136|NF-kappaB
P08544820T0000|87 105|Drosophila Lsp-2 gene
P10640683A0670|220 222|PKN
P09858714A1171|11 15|dda.2
P10942599A1298|92 104|Hoxa-1 protein
P08846775A0110|113 116|CLN2
P09006910A0000|125 145|human RXRgamma2 isoform
P08278548A0597|21 32|psaL products
P09193077A0000|92 107|chalcone synthase
P03061383A0000|117 121|TEM-1
P09763470A1756|130 132|Sp1
P11350812A0829|36 38|MEK
P06735247A0803|12 31|plasma enteroglucagon
P09950213A1660|99 106|TGF-beta
P03989827T0000|14 30|lactase phenotypes
P08087887A1067|3 19|polyubiquitin gene
P08524267A1022|116 131|myc-derived genes
P08649386A1032|82 96|Abf1 binding site
P09880512A1251|44 70|retinoic acid-bound receptors
P09641167A1359|11 18|TNF alpha
P08308008A0201|148 160|COXIV promoter
P02991060A0465|5 17|IgG antibodies
P08139562A0404|71 74|GCN4
P03340548A1018|26 38|chicken MT mRNA
P09795213A0129|0 11|RBP56 protein
P10713176A0422|99 102|p107
P09364750T0000|27 31|SUP35
P10506143A0610|21 24|JNK1
P08415637A0000|63 76|RAS superfamily
P08396261A0388|443 455|C alpha protein
P10413607A0085|88 97|collagen VI
P10692374A1873|108 110|PAN
P10532805A1084|118 126|nrg-1 mRNA
P09030581A0990|26 30|MKP-4
P01982997A1104|182 191|Jun-B mRNAs
P11422200A0000|36 40|G-CSF
P07828584A0681|36 40|c-Fos
P08892755A0981|200 209|pCAT-Basic
P10628750T0000|136 144|NF-kappaB
P11069756A2618|250 279|mitogen-activated protein kinase
P03499608A1054|89 106|11 beta-hydroxylase
P10074282A0236|98 104|cGMPase
P07693132A0100|49 57|Zm-ERabp4
P07652582A0000|0 8|INF-alpha
P10855796A1160|67 75|EphA8 gene
P07559402A0622|109 111|PKA
P08626065A0000|87 95|citB genes
P01452037A0000|66 70|GAPDH
P08916928A0950|117 134|PDGF beta-receptors
P02124710A0193|30 34|c-fos
P10903440A0515|26 31|TSGF-2
P09285789A0712|121 144|spectrin-like repeat units
P01447189T0000|45 53|RNK-Met-1
P07597804A1007|68 87|glycoprotein gene EUS4
P08873063A0493|54 59|LvUSF1
P10725382A0398|18 34|sos2 mutant alleles
P09694897T0000|70 77|U6 snRNAs
P11409425A0000|100 125|tissue plasminogen activator
P09369451A0693|84 104|myocyte enhancer factor
P10628750A0298|42 66|tumor necrosis factor-alpha
P09495283A0000|103 106|HSF2
P07737944A0000|203 216|erythropoietin
P10564280A0140|197 201|Sam68
P07559555A0557|7 9|ERM
P09303437A0875|60 62|CAT
P02196565T0000|0 16|Yeast Gal11 protein
P08475104A0341|166 172|cyclin A
P07983716A1082|140 143|Y88S
P09475724T0000|0 3|TOR2
P09537651A0366|13 16|PEA3
P07730337A1439|12 25|PKC-gamma genes
P08636031A1413|62 73|pvdS promoter
P09032304T0000|60 98|herpes simplex virus regulatory protein ICP4
P09724772A0840|65 84|zia operator-promoter
P09171389A0549|261 267|pyr gene
P08740416A0919|29 32|SEB2
P09380697T0000|62 73|caveolin gene
P10411140A0499|42 47|RNase E
P09138076A1099|132 137|E-box 1
P10817754T0000|0 2|H19
P08473731A0149|63 83|BCR-associated complex
P08294429A0153|159 169|hGH promoter
P08246987A0260|15 42|protein-tyrosine kinase domain
P08524260A0835|253 258|LTBP-1
P11314030A1264|101 103|FAK
P09263010T0000|81 85|c-myc
P08227129T0000|30 49|skeletal muscle MyBP-C
P10231026A0253|18 21|Elk1
P06094591A0000|48 51|gp85
P10024882A0541|77 84|RNA pol II
P10478844A1604|30 48|CREB-binding protein
P11207308A0999|190 193|JAK2
P02269426A0428|0 2|IST
P08314163T0000|110 117|rhGM-CSF
P09794795A0183|78 89|Janus kinases
P09924987A0000|0 23|Pokeweed antiviral protein
P07844155A0327|98 108|LAR isoforms
P08349104A0450|57 64|TSF genes
P10593939A0747|115 125|SR45 protein
P08157009A0264|140 169|plasma membrane AP-2 sigma subunit
P08337841A0612|152 156|G gene
P09857197A0289|0 3|Yap1
P08048916A0000|7 22|insulin receptors
P11350982A0560|53 56|GCN2
P08932363A0807|73 75|CBP
P10471696A0734|13 16|SAS4
P09442072A0716|7 12|DNase I
P01577740A1111|18 38|mung bean and S1 nuclease
P07899581A0000|75 77|SOD
P10376874A0759|92 96|eRF3C
P10393969A0000|27 30|ICP0
P01617801A0088|26 36|plasma renin
P01551568A1476|61 64|rpoB
P10395283A0960|60 64|Smad4
P10777586A1022|81 86|ZBP-89
P08506384A0146|34 43|eIF-2 alpha
P09371431T0000|37 43|thiCOGE
P08455623A0630|140 150|snr10 mutant
P07693708A0000|0 40|Insulin-like growth factor-binding protein-2
P11152451A1580|24 30|SmSmad2
P09649501A0358|112 141|heat shock factor binding protein 1
P07665567A0495|43 50|CD69 gene
P07796935A0284|118 162|human peroxisome proliferator-activated receptor
P08245461A0700|0 11|Hu-Met-1 mRNA
P10490955T0000|116 131|thrombospondin-1
P10708769A0433|3 22|Mif1 5' flanking region
P11059786A0682|0 11|VEGF promoter
P07588608A1687|68 83|ets family of genes
P01684791A0000|60 89|chicken glutamine synthetase gene
P10613874A0663|41 44|pepX
P02995967T0000|29 36|c-erbB-2
P10585480A0157|38 40|Sos
P10390158A1150|68 79|tiGH promoter
P08441423A0145|94 97|GCN4
P08573083A0645|142 161|human insulin promoter
P07823953A0777|15 26|I kappa B alpha
P09528758T0000|133 137|Rox-1
